observation_date,CUSR0000SAF11
2010-01-01,214.738
2010-02-01,214.728
2010-03-01,215.550
2010-04-01,215.721
2010-05-01,215.717
2010-06-01,215.476
2010-07-01,215.451
2010-08-01,215.361
2010-09-01,216.166
2010-10-01,216.534
2010-11-01,217.105
2010-12-01,217.419
2011-01-01,219.251
2011-02-01,220.732
2011-03-01,223.193
2011-04-01,224.098
2011-05-01,225.295
2011-06-01,225.857
2011-07-01,227.178
2011-08-01,228.492
2011-09-01,229.927
2011-10-01,229.992
2011-11-01,229.947
2011-12-01,230.424
2012-01-01,230.948
2012-02-01,230.612
2012-03-01,231.051
2012-04-01,231.397
2012-05-01,231.320
2012-06-01,231.713
2012-07-01,231.658
2012-08-01,231.853
2012-09-01,231.789
2012-10-01,232.398
2012-11-01,232.883
2012-12-01,233.374
2013-01-01,233.696
2013-02-01,233.526
2013-03-01,233.580
2013-04-01,233.776
2013-05-01,233.184
2013-06-01,233.809
2013-07-01,233.893
2013-08-01,234.073
2013-09-01,234.040
2013-10-01,234.219
2013-11-01,234.144
2013-12-01,234.318
2014-01-01,234.722
2014-02-01,235.781
2014-03-01,237.055
2014-04-01,237.942
2014-05-01,239.611
2014-06-01,239.682
2014-07-01,240.154
2014-08-01,240.692
2014-09-01,241.328
2014-10-01,241.620
2014-11-01,241.912
2014-12-01,242.893
2015-01-01,242.553
2015-02-01,242.598
2015-03-01,241.633
2015-04-01,241.106
2015-05-01,241.107
2015-06-01,241.922
2015-07-01,242.250
2015-08-01,242.864
2015-09-01,243.198
2015-10-01,243.284
2015-11-01,242.606
2015-12-01,241.880
2016-01-01,241.558
2016-02-01,241.741
2016-03-01,240.414
2016-04-01,240.341
2016-05-01,239.348
2016-06-01,238.763
2016-07-01,238.380
2016-08-01,238.133
2016-09-01,237.880
2016-10-01,237.714
2016-11-01,237.438
2016-12-01,237.147
2017-01-01,237.072
2017-02-01,237.824
2017-03-01,238.387
2017-04-01,238.568
2017-05-01,238.893
2017-06-01,238.494
2017-07-01,238.904
2017-08-01,238.804
2017-09-01,238.852
2017-10-01,239.020
2017-11-01,238.940
2017-12-01,239.371
2018-01-01,239.854
2018-02-01,239.187
2018-03-01,239.149
2018-04-01,239.541
2018-05-01,238.884
2018-06-01,239.048
2018-07-01,239.565
2018-08-01,239.795
2018-09-01,239.967
2018-10-01,239.558
2018-11-01,240.227
2018-12-01,241.137
2019-01-01,241.581
2019-02-01,242.111
2019-03-01,242.482
2019-04-01,241.219
2019-05-01,241.642
2019-06-01,241.214
2019-07-01,240.988
2019-08-01,240.943
2019-09-01,241.409
2019-10-01,241.999
2019-11-01,242.726
2019-12-01,242.887
2020-01-01,243.511
2020-02-01,244.200
2020-03-01,245.017
2020-04-01,251.063
2020-05-01,253.230
2020-06-01,254.674
2020-07-01,252.003
2020-08-01,252.148
2020-09-01,251.166
2020-10-01,251.641
2020-11-01,251.365
2020-12-01,252.536
2021-01-01,252.588
2021-02-01,252.945
2021-03-01,253.136
2021-04-01,254.204
2021-05-01,254.972
2021-06-01,257.066
2021-07-01,258.400
2021-08-01,259.572
2021-09-01,262.346
2021-10-01,265.084
2021-11-01,267.315
2021-12-01,268.962
2022-01-01,271.278
2022-02-01,274.848
2022-03-01,278.588
2022-04-01,281.629
2022-05-01,285.414
2022-06-01,288.583
2022-07-01,292.287
2022-08-01,294.799
2022-09-01,296.302
2022-10-01,297.943
2022-11-01,299.267
2022-12-01,300.553
2023-01-01,301.853
2023-02-01,302.603
2023-03-01,301.822
2023-04-01,301.806
2023-05-01,302.072
2023-06-01,302.116
2023-07-01,302.757
2023-08-01,303.506
2023-09-01,303.382
2023-10-01,304.339
2023-11-01,304.154
2023-12-01,304.517
2024-01-01,305.421
2024-02-01,305.580
2024-03-01,305.367
2024-04-01,305.298
2024-05-01,305.283
2024-06-01,305.661
2024-07-01,305.996
2024-08-01,306.239
2024-09-01,307.201
2024-10-01,307.798
2024-11-01,308.881
2024-12-01,309.754
