observation_date,CUSR0000SEHA
2010-01-01,248.721
2010-02-01,248.717
2010-03-01,248.854
2010-04-01,248.962
2010-05-01,249.066
2010-06-01,249.327
2010-07-01,249.458
2010-08-01,249.346
2010-09-01,249.663
2010-10-01,249.660
2010-11-01,250.182
2010-12-01,250.641
2011-01-01,251.142
2011-02-01,251.516
2011-03-01,251.905
2011-04-01,252.203
2011-05-01,252.584
2011-06-01,252.986
2011-07-01,253.423
2011-08-01,254.295
2011-09-01,254.895
2011-10-01,255.651
2011-11-01,256.207
2011-12-01,256.800
2012-01-01,257.267
2012-02-01,257.842
2012-03-01,258.335
2012-04-01,258.977
2012-05-01,259.481
2012-06-01,259.893
2012-07-01,260.476
2012-08-01,260.999
2012-09-01,261.620
2012-10-01,262.631
2012-11-01,263.137
2012-12-01,263.669
2013-01-01,264.245
2013-02-01,264.904
2013-03-01,265.603
2013-04-01,266.094
2013-05-01,266.841
2013-06-01,267.451
2013-07-01,267.870
2013-08-01,268.837
2013-09-01,269.315
2013-10-01,269.822
2013-11-01,270.387
2013-12-01,271.220
2014-01-01,271.918
2014-02-01,272.461
2014-03-01,273.341
2014-04-01,274.255
2014-05-01,275.013
2014-06-01,275.819
2014-07-01,276.663
2014-08-01,277.319
2014-09-01,278.149
2014-10-01,278.797
2014-11-01,279.758
2014-12-01,280.383
2015-01-01,281.223
2015-02-01,282.171
2015-03-01,283.056
2015-04-01,283.786
2015-05-01,284.559
2015-06-01,285.477
2015-07-01,286.435
2015-08-01,287.320
2015-09-01,288.385
2015-10-01,289.236
2015-11-01,289.953
2015-12-01,290.723
2016-01-01,291.700
2016-02-01,292.617
2016-03-01,293.471
2016-04-01,294.397
2016-05-01,295.371
2016-06-01,296.306
2016-07-01,297.192
2016-08-01,298.029
2016-09-01,299.035
2016-10-01,300.215
2016-11-01,301.223
2016-12-01,302.271
2017-01-01,303.156
2017-02-01,304.060
2017-03-01,304.888
2017-04-01,305.692
2017-05-01,306.720
2017-06-01,307.681
2017-07-01,308.490
2017-08-01,309.608
2017-09-01,310.346
2017-10-01,311.330
2017-11-01,312.295
2017-12-01,313.462
2018-01-01,314.531
2018-02-01,315.162
2018-03-01,315.885
2018-04-01,316.960
2018-05-01,317.766
2018-06-01,318.607
2018-07-01,319.642
2018-08-01,320.860
2018-09-01,321.563
2018-10-01,322.447
2018-11-01,323.633
2018-12-01,324.408
2019-01-01,325.314
2019-02-01,326.220
2019-03-01,327.539
2019-04-01,328.816
2019-05-01,329.617
2019-06-01,330.919
2019-07-01,331.935
2019-08-01,332.781
2019-09-01,333.920
2019-10-01,334.558
2019-11-01,335.484
2019-12-01,336.418
2020-01-01,337.591
2020-02-01,338.489
2020-03-01,339.502
2020-04-01,340.225
2020-05-01,341.007
2020-06-01,341.524
2020-07-01,342.312
2020-08-01,342.650
2020-09-01,342.986
2020-10-01,343.502
2020-11-01,343.731
2020-12-01,344.125
2021-01-01,344.469
2021-02-01,345.073
2021-03-01,345.669
2021-04-01,346.380
2021-05-01,347.230
2021-06-01,348.091
2021-07-01,348.889
2021-08-01,349.993
2021-09-01,351.323
2021-10-01,352.757
2021-11-01,354.210
2021-12-01,355.551
2022-01-01,357.396
2022-02-01,359.395
2022-03-01,361.000
2022-04-01,363.086
2022-05-01,365.364
2022-06-01,368.231
2022-07-01,370.953
2022-08-01,373.649
2022-09-01,376.648
2022-10-01,379.275
2022-11-01,382.218
2022-12-01,385.182
2023-01-01,387.957
2023-02-01,390.833
2023-03-01,392.795
2023-04-01,395.062
2023-05-01,397.024
2023-06-01,398.968
2023-07-01,400.798
2023-08-01,402.673
2023-09-01,404.578
2023-10-01,406.513
2023-11-01,408.470
2023-12-01,410.051
2024-01-01,411.551
2024-02-01,413.330
2024-03-01,415.084
2024-04-01,416.554
2024-05-01,418.116
2024-06-01,419.249
2024-07-01,421.216
2024-08-01,422.687
2024-09-01,423.925
2024-10-01,425.210
2024-11-01,426.265
2024-12-01,427.535
