observation_date,CUSR0000SETB01
2010-01-01,242.036
2010-02-01,235.748
2010-03-01,233.103
2010-04-01,232.594
2010-05-01,227.765
2010-06-01,222.745
2010-07-01,229.026
2010-08-01,232.674
2010-09-01,235.661
2010-10-01,249.885
2010-11-01,256.596
2010-12-01,271.509
2011-01-01,275.816
2011-02-01,280.015
2011-03-01,294.915
2011-04-01,310.115
2011-05-01,314.859
2011-06-01,304.321
2011-07-01,304.901
2011-08-01,306.276
2011-09-01,309.168
2011-10-01,305.963
2011-11-01,308.587
2011-12-01,300.662
2012-01-01,306.170
2012-02-01,316.625
2012-03-01,319.198
2012-04-01,319.414
2012-05-01,303.692
2012-06-01,291.490
2012-07-01,287.505
2012-08-01,310.365
2012-09-01,326.789
2012-10-01,332.699
2012-11-01,315.264
2012-12-01,306.338
2013-01-01,306.734
2013-02-01,329.253
2013-03-01,310.442
2013-04-01,295.206
2013-05-01,293.131
2013-06-01,298.112
2013-07-01,298.754
2013-08-01,303.409
2013-09-01,297.390
2013-10-01,295.640
2013-11-01,297.183
2013-12-01,303.304
2014-01-01,308.400
2014-02-01,305.007
2014-03-01,300.141
2014-04-01,305.367
2014-05-01,301.296
2014-06-01,302.293
2014-07-01,299.785
2014-08-01,294.803
2014-09-01,287.003
2014-10-01,278.463
2014-11-01,262.282
2014-12-01,238.491
2015-01-01,199.553
2015-02-01,206.901
2015-03-01,214.684
2015-04-01,211.577
2015-05-01,225.281
2015-06-01,230.871
2015-07-01,231.775
2015-08-01,225.725
2015-09-01,201.935
2015-10-01,199.315
2015-11-01,198.984
2015-12-01,190.765
2016-01-01,181.445
2016-02-01,162.727
2016-03-01,175.164
2016-04-01,184.762
2016-05-01,187.627
2016-06-01,196.440
2016-07-01,185.486
2016-08-01,183.715
2016-09-01,189.766
2016-10-01,197.788
2016-11-01,199.220
2016-12-01,206.244
2017-01-01,217.892
2017-02-01,213.626
2017-03-01,210.690
2017-04-01,209.074
2017-05-01,197.848
2017-06-01,195.797
2017-07-01,191.889
2017-08-01,203.585
2017-09-01,228.252
2017-10-01,218.990
2017-11-01,228.908
2017-12-01,228.888
2018-01-01,235.325
2018-02-01,239.767
2018-03-01,231.325
2018-04-01,238.803
2018-05-01,242.344
2018-06-01,243.105
2018-07-01,241.377
2018-08-01,246.229
2018-09-01,250.369
2018-10-01,253.471
2018-11-01,238.309
2018-12-01,225.063
2019-01-01,208.730
2019-02-01,217.237
2019-03-01,230.013
2019-04-01,245.651
2019-05-01,242.557
2019-06-01,231.691
2019-07-01,235.098
2019-08-01,229.734
2019-09-01,228.230
2019-10-01,232.348
2019-11-01,236.924
2019-12-01,244.197
2020-01-01,242.397
2020-02-01,230.646
2020-03-01,204.901
2020-04-01,164.836
2020-05-01,160.261
2020-06-01,178.169
2020-07-01,185.072
2020-08-01,188.325
2020-09-01,193.069
2020-10-01,191.525
2020-11-01,191.823
2020-12-01,208.753
2021-01-01,221.457
2021-02-01,234.076
2021-03-01,250.828
2021-04-01,246.431
2021-05-01,250.207
2021-06-01,258.450
2021-07-01,262.373
2021-08-01,268.570
2021-09-01,274.224
2021-10-01,286.559
2021-11-01,303.209
2021-12-01,312.262
2022-01-01,311.988
2022-02-01,323.725
2022-03-01,369.801
2022-04-01,353.734
2022-05-01,371.837
2022-06-01,413.100
2022-07-01,376.184
2022-08-01,336.269
2022-09-01,324.545
2022-10-01,337.258
2022-11-01,335.333
2022-12-01,308.143
2023-01-01,317.691
2023-02-01,317.123
2023-03-01,304.286
2023-04-01,310.282
2023-05-01,298.880
2023-06-01,303.728
2023-07-01,300.583
2023-08-01,324.015
2023-09-01,334.484
2023-10-01,319.829
2023-11-01,306.352
2023-12-01,302.868
2024-01-01,298.595
2024-02-01,304.623
2024-03-01,306.743
2024-04-01,313.349
2024-05-01,305.733
2024-06-01,296.475
2024-07-01,293.814
2024-08-01,290.345
2024-09-01,283.588
2024-10-01,280.807
2024-11-01,281.613
2024-12-01,292.942
